Summary,Work type,Work item ID,Parent,Description
Create team roles and ownership map,Story,1002,100,"Objective — Assign clear responsibilities for a 3-4 person engineering team.
Context — The work spans ML, ROS, deployment, data, and QA.
Scope — Included: role definitions, ownership map, review responsibilities, and backup owners.
Success criteria — each epic has an accountable owner; handoff boundaries are clear; backup owners are identified
Risks and dependencies — N/A
Other information — N/A"
Document technical assumptions and constraints,Story,1003,100,"Objective — Record hardware, model, runtime, and simulation assumptions.
Context — The paper uses Orin-class hardware and specific runtime settings, but the team may start on laptops.
Scope — Included: hardware availability, GPU assumptions, ROS version, model size, and deployment priorities.
Success criteria — assumptions are visible; unknowns are tracked; decisions can be revisited
Risks and dependencies — N/A
Other information — N/A"
Create initial risk register,Story,1004,100,"Objective — Track technical and project risks early.
Context — Known risks include dataset quality, model export, latency, and safety.
Scope — Included: risk list, severity, mitigation, owner, and review cadence.
Success criteria — top risks are documented; mitigations are assigned; risks are reviewed weekly
Risks and dependencies — N/A
Other information — N/A"
Initialize repository structure,Story,1005,101,"Objective — Create a clean repository layout for ML, ROS, deployment, data, and docs.
Context — A consistent structure reduces integration friction across beginners.
Scope — Included: top-level folders, package boundaries, placeholder files, and README navigation.
Success criteria — repo is easy to navigate; each system area has a folder; README explains layout
Risks and dependencies — N/A
Other information — N/A"
Create Python environment setup,Story,1006,101,"Objective — Make Python dependencies reproducible.
Context — ML inference, dataset tools, and benchmark scripts need consistent package versions.
Scope — Included: requirements files, virtual environment instructions, and smoke tests.
Success criteria — fresh environment installs successfully; smoke test imports core packages; versions are documented
Risks and dependencies — N/A
Other information — N/A"
Create ROS 2 workspace setup,Story,1007,101,"Objective — Make ROS workspace creation repeatable.
Context — ROS nodes should build consistently for all teammates.
Scope — Included: workspace skeleton, package creation, dependency notes, and build command.
Success criteria — colcon build succeeds; workspace path is documented; ROS package names are consistent
Risks and dependencies — N/A
Other information — N/A"
Add configuration management,Story,1008,101,"Objective — Centralize runtime and training settings.
Context — The project needs editable settings for model path, topic names, velocities, and benchmark parameters.
Scope — Included: YAML or JSON config files, example config, and config loader.
Success criteria — default config loads; sensitive values are excluded; runtime can change topics without code edits
Risks and dependencies — N/A
Other information — N/A"
Set up basic CI checks,Story,1009,101,"Objective — Add lightweight automated checks for the project.
Context — Beginners benefit from fast feedback on syntax and tests.
Scope — Included: linting or formatting, unit tests, and basic build commands.
Success criteria — CI runs on pull requests; unit tests execute; failures are visible
Risks and dependencies — N/A
Other information — N/A"
Create experiment logging convention,Story,1010,101,"Objective — Standardize how training, inference, and benchmark outputs are saved.
Context — Evaluation will produce many runs and results that need traceability.
Scope — Included: run directory structure, metrics files, config snapshots, and naming rules.
Success criteria — each run has config and metrics; outputs are timestamped; results can be compared later
Risks and dependencies — N/A
Other information — N/A"
Select and set up simulation environment,Story,1011,102,"Objective — Choose and configure the first simulation environment.
Context — Simulation avoids real hardware safety issues while the team learns.
Scope — Included: simulator selection, install notes, simple world, and robot model.
Success criteria — simulator launches; robot model appears; camera feed is available or planned
Risks and dependencies — Simulator complexity may slow beginners.
Other information — N/A"
Implement camera frame subscriber,Story,1012,102,"Objective — Receive camera frames from simulation or a physical camera.
Context — The VLA pipeline starts with RGB frames.
Scope — Included: ROS image topic subscription, frame conversion, timestamp handling, and debug view.
Success criteria — node receives frames; frame dimensions are logged; latest frame is accessible to inference
Risks and dependencies — N/A
Other information — N/A"
Implement velocity command publisher,Story,1013,102,"Objective — Publish robot movement commands through ROS 2.
Context — The action output should eventually map to geometry_msgs/Twist.
Scope — Included: publisher node, topic configuration, command construction, and basic tests.
Success criteria — publisher sends Twist commands; robot moves in simulation; topic name is configurable
Risks and dependencies — N/A
Other information — N/A"
Build dummy action generator,Story,1014,102,"Objective — Use hardcoded or scripted actions before ML is connected.
Context — This isolates robotics integration from model uncertainty.
Scope — Included: dummy action modes, command sequence playback, and logging.
Success criteria — dummy mode moves robot; commands are logged; dummy action can be swapped for model output later
Risks and dependencies — N/A
Other information — N/A"
Add low-level control heartbeat,Story,1015,102,"Objective — Maintain a stable command heartbeat independent of model inference speed.
Context — The paper describes low-level control continuing faster than reasoning.
Scope — Included: timer loop, last-safe-command behavior, timeout, and stop fallback.
Success criteria — commands publish at configured heartbeat; timeout triggers STOP; heartbeat does not depend on model call duration
Risks and dependencies — N/A
Other information — N/A"
Add manual teleoperation mode,Story,1016,102,"Objective — Allow a human to drive the robot for testing and data collection.
Context — Teleoperation helps create demonstrations and debug control.
Scope — Included: keyboard or joystick control, mode switch, and command logging.
Success criteria — human can control robot; manual mode overrides model mode; commands can be recorded
Risks and dependencies — N/A
Other information — N/A"
Define discrete action schema,Story,1017,103,"Objective — Create the first safe action vocabulary.
Context — Discrete actions are easier for beginners to train, test, and parse than continuous values.
Scope — Included: MOVE_FORWARD, TURN_LEFT, TURN_RIGHT, SLOW_DOWN, STOP, and mapping to velocities.
Success criteria — action list is documented; each action maps to a bounded command; schema supports initial demo
Risks and dependencies — N/A
Other information — N/A"
Define continuous command schema,Story,1018,103,"Objective — Prepare an optional JSON schema for direct velocity output.
Context — The paper discusses structured velocity-style commands, which may be useful after discrete actions work.
Scope — Included: JSON fields, value ranges, stop flag, and validation rules.
Success criteria — schema is documented; bounds are explicit; continuous mode can be deferred safely
Risks and dependencies — N/A
Other information — N/A"
Implement discrete action parser,Story,1019,103,"Objective — Extract a valid action from model text.
Context — VLMs may return extra text unless constrained.
Scope — Included: strict parsing, normalization, invalid-output handling, and tests.
Success criteria — valid actions parse correctly; extra whitespace is tolerated; unknown text returns invalid result
Risks and dependencies — N/A
Other information — N/A"
Implement JSON command parser,Story,1020,103,"Objective — Parse optional continuous command JSON safely.
Context — Later models may output JSON velocity commands.
Scope — Included: JSON parsing, type validation, clipping, and failure handling.
Success criteria — valid JSON parses; invalid JSON fails safely; out-of-range values are clipped or rejected
Risks and dependencies — N/A
Other information — N/A"
Implement safety clamp and fallback behavior,Story,1021,103,"Objective — Guarantee unsafe actions cannot be published directly.
Context — Robot control needs deterministic safeguards regardless of model behavior.
Scope — Included: velocity limits, invalid output fallback, emergency stop integration, and logs.
Success criteria — all commands are bounded; invalid output maps to STOP; safety events are logged
Risks and dependencies — N/A
Other information — N/A"
Add command smoothing,Story,1022,103,"Objective — Reduce jerky command changes between model outputs.
Context — Low-frequency reasoning can create abrupt robot movement.
Scope — Included: simple smoothing, rate limit, and bypass for STOP.
Success criteria — smoothing limits sudden changes; STOP still applies immediately; settings are configurable
Risks and dependencies — N/A
Other information — N/A"
Select starter vision-language model,Story,1023,104,"Objective — Pick a model suitable for baseline local inference.
Context — The paper references compact VLMs and a SmolVLM-style backbone, but the team may need a practical starting point.
Scope — Included: candidate comparison, hardware requirements, license notes, and initial choice.
Success criteria — model choice is documented; minimum hardware is known; fallback model is identified
Risks and dependencies — Some models may not support desired export path.
Other information — N/A"
Create image preprocessing pipeline,Story,1024,104,"Objective — Prepare camera frames for the selected model.
Context — VLMs require specific image size, color format, and normalization.
Scope — Included: resize, color conversion, batching, and sample tests.
Success criteria — preprocessor accepts ROS frame arrays; output matches model expectations; sample image inference succeeds
Risks and dependencies — N/A
Other information — N/A"
Design baseline prompting strategy,Story,1025,104,"Objective — Write prompts that constrain the model to valid actions.
Context — Prompting can reduce invalid text before fine-tuning.
Scope — Included: system prompt, instruction template, action list, and response constraints.
Success criteria — prompt includes allowed actions; prompt requests action-only output; examples are documented
Risks and dependencies — N/A
Other information — N/A"
Implement baseline inference wrapper,Story,1026,104,"Objective — Create a callable wrapper around the starter VLM.
Context — The rest of the system needs a stable interface independent of model internals.
Scope — Included: input image, instruction, output text, timing, and error handling.
Success criteria — wrapper returns text output; errors are caught and logged; latency is measured
Risks and dependencies — N/A
Other information — N/A"
Evaluate zero-shot baseline outputs,Story,1027,104,"Objective — Measure how well the untrained model follows action prompts.
Context — This gives a baseline before dataset creation and fine-tuning.
Scope — Included: small test set, valid action rate, qualitative notes, and failure examples.
Success criteria — valid action rate is reported; common failure modes are listed; baseline examples are saved
Risks and dependencies — N/A
Other information — N/A"
Connect baseline inference to action parser,Story,1028,104,"Objective — Turn baseline model text into structured actions.
Context — The parser and safety layer should work before full ROS integration.
Scope — Included: inference wrapper output, parser call, safety fallback, and standalone test.
Success criteria — valid model text becomes action; invalid model text becomes STOP; integration test passes
Risks and dependencies — N/A
Other information — N/A"
Define dataset schema and file layout,Story,1029,105,"Objective — Specify how image, instruction, and action examples are stored.
Context — Fine-tuning depends on consistent data records.
Scope — Included: JSONL or CSV schema, image path rules, metadata fields, and examples.
Success criteria — schema is documented; sample records validate; folder layout is created
Risks and dependencies — N/A
Other information — N/A"
Build simulation data capture tool,Story,1030,105,"Objective — Save synchronized frames and robot state from simulation.
Context — The team needs examples generated from repeatable simulated scenarios.
Scope — Included: frame saving, timestamping, command recording, and episode metadata.
Success criteria — frames are saved; commands align with timestamps; episode metadata is recorded
Risks and dependencies — N/A
Other information — N/A"
Create synthetic starter dataset,Story,1031,105,"Objective — Generate a small first dataset to unblock training pipeline work.
Context — A tiny dataset helps test loaders and training before full data collection.
Scope — Included: simple images or simulation screenshots, action labels, and validation split.
Success criteria — at least 200 examples exist; all examples validate; training script can load them
Risks and dependencies — N/A
Other information — N/A"
Design labeling workflow,Story,1032,105,"Objective — Make it easy to label or correct image-action examples.
Context — Manual review is needed to improve dataset quality.
Scope — Included: labeling guide, review process, and simple labeling script or spreadsheet.
Success criteria — labeling instructions are clear; labels use approved action schema; reviewed labels are traceable
Risks and dependencies — N/A
Other information — N/A"
Implement dataset validation checks,Story,1033,105,"Objective — Detect missing files, invalid labels, and malformed records.
Context — Bad data can silently break training.
Scope — Included: schema validation, image existence check, label validation, and summary report.
Success criteria — validator catches missing images; invalid actions are reported; summary count is generated
Risks and dependencies — N/A
Other information — N/A"
Create dataset loader for training,Story,1034,105,"Objective — Load images and labels into the fine-tuning pipeline.
Context — Training scripts need a reliable dataset interface.
Scope — Included: loader class, transforms, batching, and smoke tests.
Success criteria — loader returns image, instruction, and label; batching works; small dataset can run through one training batch
Risks and dependencies — N/A
Other information — N/A"
Create dataset versioning and documentation,Story,1035,105,"Objective — Track dataset changes and quality over time.
Context — Fine-tuning results must be tied to a known dataset version.
Scope — Included: version naming, changelog, stats, and storage notes.
Success criteria — dataset version is referenced in training runs; changelog exists; stats are documented
Risks and dependencies — N/A
Other information — N/A"
Prepare model training format,Story,1036,106,"Objective — Convert labeled examples into the model-specific supervised fine-tuning format.
Context — Different VLMs require different conversation or prompt formats.
Scope — Included: training prompt format, label target format, masking rules, and sample inspection.
Success criteria — formatted examples are generated; labels are visible in target tokens; sample inspection looks correct
Risks and dependencies — N/A
Other information — N/A"
Configure LoRA fine-tuning,Story,1037,106,"Objective — Set up parameter-efficient fine-tuning for the selected model.
Context — The paper uses LoRA with rank and scaling settings before quantization.
Scope — Included: LoRA target modules, rank, alpha, dropout, and trainable parameter report.
Success criteria — LoRA adapter attaches successfully; trainable parameter count is logged; config is saved with run
Risks and dependencies — Target modules vary by model architecture.
Other information — N/A"
Implement first training loop,Story,1038,106,"Objective — Run supervised fine-tuning for at least one small experiment.
Context — A minimal run validates data, model, and optimizer integration.
Scope — Included: training script, optimizer, checkpoint save, and basic logging.
Success criteria — one epoch or short run completes; checkpoint is saved; loss is logged
Risks and dependencies — N/A
Other information — N/A"
Add validation metrics,Story,1039,106,"Objective — Evaluate action prediction quality on held-out data.
Context — The team needs measurable progress beyond training loss.
Scope — Included: valid action rate, exact action accuracy, confusion matrix or counts, and sample outputs.
Success criteria — validation script runs; accuracy is reported; invalid output rate is reported
Risks and dependencies — N/A
Other information — N/A"
Compare fine-tuned model against baseline,Story,1040,106,"Objective — Show whether training improved action outputs.
Context — The zero-shot baseline may be weak; comparison shows learning value.
Scope — Included: same validation set, baseline metrics, fine-tuned metrics, and summary table.
Success criteria — comparison table exists; fine-tuned model result is documented; regressions are flagged
Risks and dependencies — N/A
Other information — N/A"
Create manual model inspection workflow,Story,1041,106,"Objective — Review qualitative predictions to understand errors.
Context — Manual inspection helps beginners diagnose model behavior.
Scope — Included: sample viewer, prediction examples, failure buckets, and notes.
Success criteria — example predictions are easy to inspect; failure modes are categorized; next dataset fixes are identified
Risks and dependencies — N/A
Other information — N/A"
Make training runs reproducible,Story,1042,106,"Objective — Ensure experiments can be rerun with the same settings.
Context — Reproducibility is critical for debugging and benchmarking.
Scope — Included: seed setting, config snapshot, dependency info, dataset version, and run metadata.
Success criteria — run metadata is saved; dataset version is recorded; config snapshot exists
Risks and dependencies — N/A
Other information — N/A"
Research model export and quantization path,Story,1043,107,"Objective — Determine the practical path from trained model to low-bit inference.
Context — Multimodal GGUF export can be model-specific and may be risky.
Scope — Included: export compatibility, conversion tools, fallback options, and blocker list.
Success criteria — export path is documented; fallback path is identified; blockers have owners
Risks and dependencies — Selected model may not support direct GGUF export.
Other information — N/A"
Run Python low-bit quantization experiment,Story,1044,107,"Objective — Try a practical low-bit inference path before GGUF.
Context — This reduces risk if llama.cpp export is delayed.
Scope — Included: 8-bit or 4-bit model loading, sample inference, and output comparison.
Success criteria — quantized model loads; sample prediction works; latency and memory are measured
Risks and dependencies — N/A
Other information — N/A"
Attempt GGUF conversion,Story,1045,107,"Objective — Convert the model or supported components to GGUF if feasible.
Context — The paper uses GGUF Q4_K_M as the deployment format.
Scope — Included: conversion command, output artifact, conversion logs, and blockers.
Success criteria — GGUF file is produced or blocker is documented; conversion steps are reproducible; logs are saved
Risks and dependencies — VLM projector or vision encoder may not be supported by conversion tooling.
Other information — N/A"
Run llama.cpp inference prototype,Story,1046,107,"Objective — Test local inference with llama.cpp where supported.
Context — The paper relies on llama.cpp CUDA backend for optimized inference.
Scope — Included: CLI command, model loading, prompt input, output token limit, and timing.
Success criteria — llama.cpp runs a sample prompt; output token limit is configured; timing is logged
Risks and dependencies — Vision input support may differ depending on model and runtime.
Other information — N/A"
Configure Jetson or edge hardware runtime,Story,1047,107,"Objective — Prepare edge hardware for deployment experiments.
Context — The paper targets Jetson Orin-class hardware, but setup must be explicit.
Scope — Included: power mode notes, CUDA availability, storage, dependencies, and thermal checks.
Success criteria — hardware boots and runs basic GPU check; runtime dependencies are installed; setup steps are documented
Risks and dependencies — Hardware may be unavailable or slower than paper setup.
Other information — N/A"
Compare FP32 and quantized action stability,Story,1048,107,"Objective — Check whether quantization changes action outputs.
Context — The paper discusses action precision and drift concerns after 4-bit quantization.
Scope — Included: same test set, FP32 predictions, quantized predictions, mismatch rate, and examples.
Success criteria — mismatch rate is reported; critical mismatches are reviewed; quantized safety concerns are documented
Risks and dependencies — N/A
Other information — N/A"
Package runtime configuration for deployment,Story,1049,107,"Objective — Create repeatable scripts for model runtime settings.
Context — The paper uses constrained context and short output to reduce latency.
Scope — Included: context length, output token limit, GPU offload settings, model path, and startup command.
Success criteria — runtime command is reproducible; settings are documented; scripts use config values
Risks and dependencies — N/A
Other information — N/A"
Create inference service API,Story,1050,108,"Objective — Expose model inference through a stable local service or module interface.
Context — ROS code should not depend directly on model internals.
Scope — Included: request format, response format, health check, and error response.
Success criteria — service accepts image and instruction; response includes raw output and parsed action; health check works
Risks and dependencies — N/A
Other information — N/A"
Implement ROS inference client node,Story,1051,108,"Objective — Connect ROS camera frames to the inference service.
Context — The ROS loop needs the latest frame and current instruction to request actions.
Scope — Included: frame retrieval, instruction input, async request, and response handling.
Success criteria — node sends frames to service; node receives actions; errors become STOP
Risks and dependencies — N/A
Other information — N/A"
Add instruction management,Story,1052,108,"Objective — Allow operators to set or change the robot goal text.
Context — The model is language-conditioned, so the instruction must be part of runtime state.
Scope — Included: static config instruction, CLI update, ROS parameter or topic update.
Success criteria — default instruction is loaded; instruction can be changed without code edit; current instruction is logged
Risks and dependencies — N/A
Other information — N/A"
Integrate model actions with safety and publisher,Story,1053,108,"Objective — Route model outputs through parser, safety, smoothing, and /cmd_vel.
Context — The model must never directly control the robot without validation.
Scope — Included: full model-to-command path, fallback handling, and logs.
Success criteria — model output reaches parser; safe command is published; invalid output stops robot
Risks and dependencies — N/A
Other information — N/A"
Implement asynchronous inference loop,Story,1054,108,"Objective — Prevent slow model inference from freezing robot control.
Context — VLA inference may run slower than the low-level heartbeat.
Scope — Included: worker thread or async task, latest frame policy, timeout, and result queue.
Success criteria — heartbeat continues during inference; old frames are skipped or handled intentionally; timeouts are safe
Risks and dependencies — N/A
Other information — N/A"
Add runtime health and diagnostics,Story,1055,108,"Objective — Expose enough state to debug the end-to-end loop.
Context — Beginners need visibility when model, ROS, or parser fails.
Scope — Included: status logs, counters, recent action, latency, and safety events.
Success criteria — health output shows model status; latency is visible; safety event count is visible
Risks and dependencies — N/A
Other information — N/A"
Run full simulation integration demo,Story,1056,108,"Objective — Demonstrate image plus instruction to robot movement.
Context — This validates the main architecture before detailed benchmarking.
Scope — Included: demo launch file, scenario setup, instruction, runtime logs, and pass/fail notes.
Success criteria — demo starts from one command; robot moves according to model or baseline action; logs capture full pipeline
Risks and dependencies — N/A
Other information — N/A"
Define evaluation metrics and benchmark plan,Story,1057,109,"Objective — Create a focused benchmark plan aligned with the paper and MVP.
Context — The paper emphasizes latency, reasoning frequency, and deployment feasibility.
Scope — Included: metric definitions, run counts, test sets, simulation scenarios, and reporting format.
Success criteria — metrics are documented; benchmark scripts have clear inputs; team agrees on target comparisons
Risks and dependencies — N/A
Other information — N/A"
Create offline inference benchmark,Story,1058,109,"Objective — Measure image-to-action latency outside ROS.
Context — Offline benchmarking isolates model and preprocessing speed.
Scope — Included: N-run benchmark, warm-up, timing breakdown, and metrics file.
Success criteria — benchmark runs for configured N; timing stats are saved; warm-up behavior is documented
Risks and dependencies — N/A
Other information — N/A"
Create ROS end-to-end latency benchmark,Story,1059,109,"Objective — Measure frame ingestion to command publication latency.
Context — End-to-end timing is closer to the paper-style system claim.
Scope — Included: timestamps across camera, inference, parser, safety, and publish steps.
Success criteria — end-to-end latency is reported; component timing is available; logs can be analyzed
Risks and dependencies — N/A
Other information — N/A"
Create action validity benchmark,Story,1060,109,"Objective — Measure how often model outputs are parseable and safe.
Context — Valid output rate is a key practical metric for structured VLA control.
Scope — Included: test dataset, parser results, invalid examples, and safety fallback count.
Success criteria — valid action rate is reported; invalid examples are saved; fallback count is visible
Risks and dependencies — N/A
Other information — N/A"
Run simulation task success evaluation,Story,1061,109,"Objective — Measure whether the robot completes simple scenarios.
Context — Latency alone does not prove robotic behavior works.
Scope — Included: episode runner, success condition, failures, and summary table.
Success criteria — at least 10 episodes run; success rate is reported; failure reasons are captured
Risks and dependencies — N/A
Other information — N/A"
Analyze failure cases and dataset fixes,Story,1062,109,"Objective — Turn benchmark failures into actionable improvements.
Context — Failures should inform prompt, dataset, parser, or safety changes.
Scope — Included: failure taxonomy, sample review, prioritized fixes, and new backlog items.
Success criteria — failure types are categorized; top fixes are identified; new tasks are created if needed
Risks and dependencies — N/A
Other information — N/A"
Create results comparison table,Story,1063,109,"Objective — Summarize project results against paper-inspired targets.
Context — The final report should distinguish reproduction from simplified prototype.
Scope — Included: latency, frequency, valid output rate, task success, hardware, and model size.
Success criteria — table includes project metrics; paper reference metrics are labeled as reference only; limitations are stated
Risks and dependencies — N/A
Other information — N/A"
Create final demo script,Story,1064,110,"Objective — Write a clear script for presenting the working prototype.
Context — The team needs a repeatable demo that explains the system and shows it running.
Scope — Included: demo flow, commands, expected outputs, fallback plan, and talking points.
Success criteria — demo can be run from instructions; presenter knows expected behavior; fallback demo exists
Risks and dependencies — N/A
Other information — N/A"
Write implementation README,Story,1065,110,"Objective — Document how to set up and run the project.
Context — A beginner-friendly README makes the work reusable.
Scope — Included: setup, simulation run, inference run, training, benchmarks, and troubleshooting.
Success criteria — README covers main commands; new teammate can run smoke tests; known issues are listed
Risks and dependencies — N/A
Other information — N/A"
Create architecture documentation,Story,1066,110,"Objective — Explain the final system design and data flow.
Context — Architecture docs help connect the implementation back to the paper.
Scope — Included: component diagram, topic/service list, model flow, safety layer, and deployment notes.
Success criteria — diagram is updated; ROS topics are documented; model interface is documented
Risks and dependencies — N/A
Other information — N/A"
Write final project report,Story,1067,110,"Objective — Summarize what was built, results, limitations, and future work.
Context — The project should produce a learning artifact beyond code.
Scope — Included: objective, implementation summary, experiments, results, deviations from paper, and next steps.
Success criteria — report includes metrics; limitations are honest; future work is prioritized
Risks and dependencies — N/A
Other information — N/A"
Prepare knowledge transfer session,Story,1068,110,"Objective — Help all teammates understand and maintain the project.
Context — Shared understanding reduces bus factor after the demo.
Scope — Included: walkthrough agenda, code tour, known risks, and next backlog review.
Success criteria — session agenda exists; each component owner presents; open questions are recorded
Risks and dependencies — N/A
Other information — N/A"
Create Jira import and project setup notes,Story,1069,110,"Objective — Provide guidance for importing this CSV and using the board.
Context — The user wants a Jira-ready backlog with simple workflow notes.
Scope — Included: import mapping, issue hierarchy, workflow, labels, and board conventions.
Success criteria — CSV import instructions are clear; workflow uses simple statuses; labels are suggested
Risks and dependencies — N/A
Other information — N/A"
Extract core components from the paper,Subtask,10000,1000,"Objective — Create a component list from the paper.
Success criteria — perception, model inference, parser, ROS bridge, and controller are listed
Notes — N/A"
Create a simplified architecture diagram,Subtask,10001,1000,"Objective — Draw a beginner-friendly diagram of the prototype.
Success criteria — diagram shows image input, instruction, model, parser, safety, and /cmd_vel
Notes — N/A"
Document paper claims versus implementation goals,Subtask,10002,1000,"Objective — Separate what the paper reports from what the project will attempt.
Success criteria — latency, hardware, model, and training choices are documented
Notes — N/A"
Select first simulated task,Subtask,10003,1001,"Objective — Pick the first task scenario.
Success criteria — task has camera input, text instruction, and simple movement output
Notes — N/A"
Write MVP acceptance criteria,Subtask,10004,1001,"Objective — Define when the project counts as working.
Success criteria — criteria cover model output, ROS command, safety, and logs
Notes — N/A"
